,Department,Job_Title,Year,Average_Compensation
0,Information & Technology Service,Application Developer,2015,61460.86
1,Information & Technology Service,Application Developer,2016,62760.52
2,Information & Technology Service,Application Developer,2017,64184.43
3,Information & Technology Service,Application Developer,2018,65262.0
4,Information & Technology Service,Applications Support & Security,2018,50144.0
5,Information & Technology Service,Applications Support & Security ,2016,33220.76
6,Information & Technology Service,Applications Support & Security ,2017,41105.84
7,Information & Technology Service,Assistant Director,2015,75423.0
8,Information & Technology Service,Assistant Director,2016,76925.7
9,Information & Technology Service,Assistant Director,2017,78508.24
10,Information & Technology Service,Assistant Director,2018,80088.0
11,Information & Technology Service,Database Admin/Web App Developer,2015,64453.92
12,Information & Technology Service,Database Admin/Web App Developer,2016,65687.02
13,Information & Technology Service,Database Admin/Web App Developer,2017,67245.67
14,Information & Technology Service,Database Administrator & Web Application Developer,2018,68387.0
15,Information & Technology Service,Digital Communication Specialist,2018,47288.0
16,Information & Technology Service,Director,2015,83133.36
17,Information & Technology Service,Director,2016,84790.31
18,Information & Technology Service,Director,2017,86529.52
19,Information & Technology Service,Director,2018,88276.0
20,Information & Technology Service,GIS Manager,2015,65772.62
21,Information & Technology Service,GIS Manager,2016,67083.06
22,Information & Technology Service,GIS Manager,2017,68669.57
23,Information & Technology Service,GIS Manager,2018,69841.0
24,Information & Technology Service,GIS Specialist,2015,43695.83
25,Information & Technology Service,GIS Specialist,2016,44566.36
26,Information & Technology Service,GIS Specialist,2017,45604.25
27,Information & Technology Service,GIS Specialist,2018,46398.0
28,Information & Technology Service,Intern,2015,5016.64
29,Information & Technology Service,Intern,2016,2137.44
30,Information & Technology Service,Intern,2017,1703.46
31,Information & Technology Service,Office Coord & Inv Specialist,2016,3855.51
32,Information & Technology Service,Office Coord/Inventory Speclst,2015,46608.7
33,Information & Technology Service,Online Content Editor,2017,3730.5
34,Information & Technology Service,Specialist,2017,11975.0
35,Information & Technology Service,Systems & App Manager,2015,47865.38
36,Information & Technology Service,Systems & App Manager,2016,66764.75
37,Information & Technology Service,Systems & App Manager,2017,68144.88
38,Information & Technology Service,Systems & App Mananger,2018,69509.0
39,Information & Technology Service,Systems & Innovation  Analyst,2016,68036.87
40,Information & Technology Service,Systems & Innovation  Analyst,2017,69442.4
41,Information & Technology Service,Systems & Innovation Analyst,2015,66757.71
42,Information & Technology Service,Systems & Network Administrator,2015,56798.57
43,Information & Technology Service,Systems Administrator,2016,24738.36
44,Information & Technology Service,Systems Administrator,2017,19858.47
45,Information & Technology Service,Systems Administrator,2018,61200.0
46,Information & Technology Service,Systems and Innovation Analyst,2018,70834.0
47,Information & Technology Service,Technology Support Manager,2015,64220.6
48,Information & Technology Service,Technology Support Manager,2016,65500.74
49,Information & Technology Service,Technology Support Manager,2017,65658.41
50,Information & Technology Service,Technology Support Manager,2018,68193.0
51,Information & Technology Service,Technology Support Specialist,2015,43325.11
52,Information & Technology Service,Technology Support Specialist,2016,41268.76
53,Information & Technology Service,Technology Support Specialist,2017,43440.87
54,Information & Technology Service,Technology Support Specialist,2018,44292.0
55,Information & Technology Service,Technology Training Specialist,2015,43140.22
56,Information & Technology Service,Web/User Interface Specialist,2015,43833.15
57,Information & Technology Service,Web/User Interface Specialist,2016,20662.69
58,Information & Technology Service,Web/User Interface Specialist,2017,49790.59
